logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,R,version,success,sol_time,obj_from_QPU_sol
./run_logs/quera/result_UDMIS089EXT_N49_W1.0_R0.2.orig_1700087304.803355.json,1700087304.803355,1700087362.17432,UDMIS089EXT,UDMIS,49,1.85,1.1,True,57.370965003967285,13
./run_logs/quera/result_UDMIS051EXT_N40_W1.0_R0.2.orig_1700088982.486367.json,1700088982.486367,1700089039.7023,UDMIS051EXT,UDMIS,40,1.42,1.1,True,57.215933084487915,14
./run_logs/quera/result_UDMIS021EXT_N60_W1.0_R0.1.orig_1700087533.843523.json,1700087533.843523,1700087592.603784,UDMIS021EXT,UDMIS,60,1.25,1.1,True,58.76026105880737,25
./run_logs/quera/result_UDMIS082EXT_N36_W1.0_R0.3.orig_1700087248.148733.json,1700087248.148733,1700087304.798089,UDMIS082EXT,UDMIS,36,1.85,1.1,True,56.64935612678528,11
./run_logs/quera/result_UDMIS066EXT_N90_W1.0_R0.1.orig_1700090694.955071.json,1700090694.955071,1700090753.386527,UDMIS066EXT,UDMIS,90,1.42,1.1,True,58.431456089019775,27
./run_logs/quera/result_UDMIS027EXT_N80_W1.0_R0.1.orig_1700093392.422526.json,1700093392.422526,1700093450.322033,UDMIS027EXT,UDMIS,80,1.25,1.1,True,57.89950704574585,30
./run_logs/quera/result_UDMIS035EXT_N120_W1.0_R0.1.orig_1700090462.957528.json,1700090462.957528,1700090522.335821,UDMIS035EXT,UDMIS,120,1.25,1.1,True,59.37829279899597,43
./run_logs/quera/result_UDMIS069EXT_N100_W1.0_R0.1.orig_1700088226.89032.json,1700088226.89032,1700088284.886987,UDMIS069EXT,UDMIS,100,1.42,1.1,True,57.99666690826416,27
./run_logs/quera/result_UDMIS072EXT_N120_W1.0_R0.1.orig_1700092195.243327.json,1700092195.243327,1700092251.99351,UDMIS072EXT,UDMIS,120,1.42,1.1,True,56.75018310546875,32
./run_logs/quera/result_UDMIS054EXT_N49_W1.0_R0.2.orig_1700092423.909389.json,1700092423.909389,1700092482.111816,UDMIS054EXT,UDMIS,49,1.42,1.1,True,58.20242691040039,16
./run_logs/quera/result_UDMIS8TG_N80_W1.0_R0.1.orig_1698329727.639364.json,1698329727.639364,1698330245.209798,UDMIS8TG,UDMIS,80,1.5,1.0,True,517.5704340934753,32
./run_logs/quera/result_UDMIS002EXT_N15_W1.0_R0.2.orig_1700087880.24082.json,1700087880.24082,1700087938.586149,UDMIS002EXT,UDMIS,15,1.25,1.1,True,58.34532904624939,9
./run_logs/quera/result_UDMIS7TG_N30_W1.0_R0.1.orig_1698263913.592476.json,1698263913.592476,1698264160.68126,UDMIS7TG,UDMIS,30,1.5,1.0,True,247.08878421783447,21
./run_logs/quera/result_UDMIS017EXT_N49_W1.0_R0.2.orig_1700089097.358771.json,1700089097.358771,1700089154.998935,UDMIS017EXT,UDMIS,49,1.25,1.1,True,57.64016389846802,22
